Dates,Sentiment Score,Sentiment
2024-01-03,0.006097560975609756,neutral
2024-01-04,0.0,neutral
2024-01-13,0.01275,neutral
2024-01-14,0.0,neutral
2024-01-15,0.04670923520923521,neutral
2024-01-16,0.0,neutral
2024-01-17,-0.008771929824561403,neutral
2024-01-18,0.0,neutral
2024-01-19,0.0,neutral
2024-01-20,0.00643976897689769,neutral
2024-01-21,0.006756756756756757,neutral
2024-01-22,0.0,neutral
2024-01-23,-0.01020408163265306,neutral
2024-01-24,0.0,neutral
2024-01-25,0.0,neutral
2024-01-26,0.0,neutral
2024-01-27,0.0,neutral
2024-01-28,0.0012048192771084334,neutral
2024-01-29,0.0,neutral
2024-01-30,0.0,neutral
2024-01-31,-0.009259259259259259,neutral
2024-02-01,-0.013157894736842105,neutral
2024-02-02,0.0,neutral
2024-02-03,0.0,neutral
2024-02-04,0.0,neutral
2024-02-13,0.0,neutral
2024-02-14,0.011904761904761904,neutral
2024-02-15,-0.016216216216216217,neutral
2024-02-16,0.0,neutral
2024-02-17,0.0,neutral
2024-02-18,0.0,neutral
2024-02-19,0.0,neutral
2024-02-20,0.02315076228119706,neutral
2024-02-21,0.0,neutral
2024-02-22,0.0,neutral
2024-02-23,-0.001470588235294119,neutral
2024-02-24,0.0,neutral
2024-02-25,-0.007936507936507936,neutral
2024-02-26,0.0,neutral
2024-02-27,0.02121212121212121,neutral
2024-02-28,0.027142857142857146,neutral
2024-02-29,0.0,neutral
2024-03-01,0.013333333333333332,neutral
2024-03-02,0.0,neutral
2024-03-03,0.01119047619047619,neutral
2024-03-04,0.03018867924528302,neutral
2024-03-13,0.0,neutral
2024-03-14,0.0,neutral
2024-03-15,0.03043956043956044,neutral
2024-03-16,0.0,neutral
2024-03-17,-0.007352941176470588,neutral
2024-03-18,-0.002197802197802198,neutral
2024-03-19,0.0,neutral
2024-03-20,0.010642201834862386,neutral
2024-03-21,-0.0008787878787878789,neutral
2024-03-22,0.0011388393741334926,neutral
2024-03-23,0.003272727272727272,neutral
2024-03-24,0.005614973262032086,neutral
2024-03-25,0.027659574468085108,neutral
2024-03-26,0.016049382716049384,neutral
2024-03-27,0.056994047619047625,neutral
2024-03-28,0.026830357142857142,neutral
2024-03-29,0.011111111111111112,neutral
2024-03-30,0.0,neutral
2024-03-31,-0.007500000000000001,neutral
2024-04-01,0.0,neutral
2024-04-02,0.004613095238095238,neutral
2024-04-03,0.02,neutral
2024-04-04,0.023255813953488372,neutral
2024-04-13,0.015517241379310345,neutral
2024-04-14,0.0010752688172043017,neutral
2024-04-15,0.0,neutral
2024-04-16,0.06675567789698224,neutral
2024-04-17,0.0,neutral
2024-04-18,0.0,neutral
2024-04-19,0.013793103448275864,neutral
